Id,country_id,Human Development Index HDI-2014,Gini coefficient 2005-2013,Adolescent birth rate 15-19 per 100k 20102015,Carbon dioxide emissionsAverage annual growth,Carbon dioxide emissions per capita 2011 Tones,Change forest percentable 1900 to 2012,Consumer price index 2013,Domestic food price level 2009 2014 index,Domestic food price level 2009-2014 volitility index,Electrification rate or population,Foreign direct investment net inflows percentage GDP 2013,Fossil fuels percentage of total 2012,Gender Inequality Index 2014,General government final consumption expenditure - Perce of GDP 2005-2013,Gross domestic product GDP 2013,Gross domestic product GDP percapta,Gross national income GNI per capita - 2011  Dollars,Homicide rate per 100k people 2008-2012,Infant Mortality 2013 per thousands,International inbound tourists thausands 2013,Internet users percentage of population 2014,Intimate or nonintimate partner violence ever experienced 2001-2011,Life expectancy at birth- years,Maternal mortality ratio deaths per 100 live births 2013,Mean years of schooling - Years,Net migration rate per 1k people 2010-2015,Physicians per 10k people,Population living on degraded land Percentage 2010,Primary school dropout rate 2008-2014,Prison population per 100k people,Public expenditure on education Percentange GDP,Public health expenditure percentage of GDP 2013,Pupil-teacher ratio primary school pupils per teacher 2008-2014,Renewable sources percentage of total 2012,Research and development expenditure  2005-2012,Share of seats in parliament percentage held by womand 2014,Taxes on income profit and capital gain 205 2013,Total tax revenue of GDP 2005-2013,Under-five Mortality 2013 thousands
Greece,29,0.865187181,34.74,11.859,3.316240538,7.556057769,20.13943619,103.9151459,2.55,11.2,100,1.215958,90.57958761,0.146384924,19.99144915,270.7278879,24539.50679,24524.14614,1.7,3.7,17900,63.21,30.46666667,80.9,5,10.26,0.9,43.8,1.105954561,5.58273,111,4.091110229,9.821956,9.19747,8.830121422,0.69038,21,19.02469903,22.40994006,4.4
Estonia,30,0.860835015,32.69,16.779,0.414732113,14.04988252,5.071770338,112.1508859,2.76,7.4,100,3.876924,88.1469609,0.163770231,19.10821397,33.29018418,25132.02672,25214,5,2.7,2868,84.24,31.33333333,76.8,11,12.48,0,32.61,4.952708207,3.02146,238,5.156990051,5.723605,11.54548,14.59279722,2.18191,19.8019802,8.943229634,16.25075411,3.4
Brunei,31,0.855615865,29.00333333,22.99,-3.083944113,23.96785089,-8.86198547,102.8821973,2.95,4.7,76.2,5.555164,99.99556393,0.064252439,18.31458946,29.02520039,69474.17897,72570.12794,2,8.4,225,68.77,39.46666667,78.8,27,8.77,0.8,14.98,3.783812986,3.63081,122,3.765949965,2.524611,10.15195,0.004488255,1.063446666,23.17225507,20.81095385,13.99083042,9.9
Cyprus,32,0.849745435,28.53333333,5.473,2.897486249,6.736166081,7.579143356,105.3347412,2,12.7,100,2.770419,94.89409483,0.123879164,19.70226167,23.77287188,27393.93981,28632.73467,2,2.8,2405,69.33,41.16666667,80.2,10,11.61928463,6.2,22.86,11.39887176,4.73259,106,7.242579937,7.365529,13.77462,5.105820709,0.46726,12.5,26.49547962,25.49124728,3.6
Qatar,33,0.849768365,29.95,9.522,-1.458735669,43.89303638,2.963996994,107.0699038,1.75,6.3,97.7,-0.4135036,100,0.524097864,12.86845544,276.6406968,127562.199,123124.3596,1.1,7,2611,91.49,38.3,78.2,6,9.070602417,48.8,77.39,0.075308091,2.26042,60,2.448339939,2.187261,9.92245,0,1.063446666,0,40.24133283,14.65495096,8.2
Andorra,34,0.844641908,29.00333333,23.67466667,0.007011878,6.310640211,2.94E-09,106.4587666,1.58,6.3,100,-1.162423733,48.29271242,0.064252439,25.18935595,361.8304018,41064.7142,43977.79472,1.3,2.2,2335,95.9,39.46666667,81.294,4.666666667,9.58190918,2.9,36.97,3.608516567,6.118623333,38,3.088160038,8.073646,9.33028,40.88819695,3.113356667,50,29.96263452,20.68117263,3
Slovakia,35,0.843572119,26.58,15.872,0.414732113,6.367545917,0.618234413,109.1745662,2.6,9.2,100,2.198677,67.51150673,0.163628552,18.05663967,142.1922509,26263.34612,25845.28246,1.4,6,6235,79.98,27.9,76.3,7,12.22690128,0.6,30,9.126450539,2.04721,187,4.057260036,8.213588,14.94005,32.31149531,0.82315,18.6666667,10.29738593,12.17147055,7.2
Poland,36,0.842677828,32.78,12.156,-0.359477765,8.335786706,5.77577871,109.0833333,2.65,7,100,-0.8720853,90.68365019,0.137784128,18.14383665,881.4760216,22877.22387,23176.79665,1.2,4.5,15800,66.6,35,77.4,3,11.82433128,-0.2,21.99,13.18289451,1.46771,217,4.942180157,6.663034,10.18568,9.552269556,0.89972,22.1428571,13.40819598,15.98390736,5.2
Lithuania,37,0.839421883,32.63,10.612,0.414732113,4.537558514,11.8667495,108.5,3.5,5.5,100,1.551068,74.04694221,0.12468077,18.74671402,72.3735333,24482.6018,24500.31387,6.7,4,2012,72.13,37.6,73.3,11,12.38313007,-1.9,41.16,4.831083643,2.50047,329,5.172679901,6.237117,12.43042,14.48771072,0.90166,23.4042553,9.034585425,13.37784917,4.9
Malta,38,0.83897834,28.53333333,18.193,3.318951129,6.034321639,0,106.6518099,2.59,8.6,100,-19.37838,94.51428078,0.226573229,20.20054095,12.2023425,28827.92676,27930.29827,2.8,5.3,1582,73.17,16,80.6,9,10.33,2.1,34.95,7.976850548,5.53651,145,7.963749886,8.703942,11.45141,5.485719217,0.84241,13.0434783,33.13890294,27.01990192,6.1
